Dimension,Subcategory,Without Pipeline Context,With Pipeline Context,Without Pipeline Context_Pct,With Pipeline Context_Pct,Difference,Pct_Change,Pct_Point_Diff
EvType,Accuracy,2078,2054,49.68914395026303,49.351273426237384,-24,-1.1549566891241578,-0.33787052402564655
EvType,Continuous Prediction,422,457,10.090865614538497,10.980297933685728,35,8.293838862559241,0.8894323191472306
EvType,Efficiency / Latency,425,427,10.16260162601626,10.259490629505045,2,0.4705882352941176,0.09688900348878526
EvType,Explainability,6,8,0.1434720229555237,0.19221528111484865,2,33.33333333333333,0.048743258159324954
EvType,Fairness,54,52,1.291248206599713,1.2493993272465163,-2,-3.7037037037037033,-0.04184887935319681
EvType,Probability,214,207,5.117168818747011,4.973570398846708,-7,-3.2710280373831773,-0.14359841990030286
EvType,Ranking,409,417,9.78000956480153,10.019221528111485,8,1.9559902200488997,0.23921196330995542
EvType,Regression,220,182,5.260640841702535,4.372897645362806,-38,-17.272727272727273,-0.8877431963397289
EvType,Robustness,54,55,1.291248206599713,1.3214800576645842,1,1.8518518518518516,0.03023185106487114
EvType,Safety,153,158,3.6585365853658534,3.7962518020182605,5,3.2679738562091507,0.13771521665240716
EvType,Uncertainty,20,22,0.47824007651841227,0.5285920230658337,2,10.0,0.05035194654742148
EvType,User Experience,127,123,3.036824485891918,2.955309947140798,-4,-3.149606299212598,-0.08151453875112002
