source,metric_subcategory,model_subcategory,paper_count,paper_percent,metric_given_model_percent,model_given_metric_percent
GT,Fairness,Alibaba / Qwen team,17,1.8,1.62,12.88
GT,Probability,Anthropic,17,1.8,3.61,3.91
GT,User Experience,Microsoft Research,16,1.7,5.39,3.29
GT,Uncertainty,Mistral AI,16,1.7,4.09,7.14
GT,Explainability,Meta AI,15,1.59,1.37,14.71
GT,Uncertainty,DeepSeek,13,1.38,2.03,5.8
GT,Efficiency / Latency,NVIDIA / NeMo,12,1.27,17.14,1.34
GT,Robustness,Microsoft Research,12,1.27,4.04,4.84
GT,Fairness,DeepSeek,11,1.17,1.72,8.33
GT,Fairness,Anthropic,11,1.17,2.34,8.33
GT,Explainability,Google DeepMind,11,1.17,1.33,10.78
GT,Explainability,DeepSeek,11,1.17,1.72,10.78
GT,Safety,Microsoft Research,11,1.17,3.7,2.51
GT,Robustness,Mistral AI,10,1.06,2.56,4.03
GT,Ranking,Hugging Face,10,1.06,12.35,1.4
GT,Explainability,Alibaba / Qwen team,10,1.06,0.95,9.8
GT,Uncertainty,Microsoft Research,10,1.06,3.37,4.46
GT,Efficiency / Latency,Hugging Face,9,0.95,11.11,1.0
GT,Fairness,Mistral AI,9,0.95,2.3,6.82
GT,Regression,NVIDIA / NeMo,9,0.95,12.86,1.35
GT,Continuous Prediction,Hugging Face,9,0.95,11.11,0.95
GT,Probability,Hugging Face,7,0.74,8.64,1.61
GT,Continuous Prediction,NVIDIA / NeMo,7,0.74,10.0,0.74
GT,Explainability,Anthropic,6,0.64,1.27,5.88
GT,Explainability,Mistral AI,6,0.64,1.53,5.88
GT,Regression,Hugging Face,6,0.64,7.41,0.9
GT,Accuracy,Stability AI,5,0.53,26.32,0.19
GT,Accuracy,Cohere,4,0.42,20.0,0.15
GT,Ranking,Cohere,4,0.42,20.0,0.56
GT,Efficiency / Latency,Stability AI,3,0.32,15.79,0.33
GT,Uncertainty,NVIDIA / NeMo,3,0.32,4.29,1.34
GT,User Experience,NVIDIA / NeMo,3,0.32,4.29,0.62
GT,Fairness,Microsoft Research,3,0.32,1.01,2.27
GT,Regression,Cohere,3,0.32,15.0,0.45
GT,Regression,Databricks / MosaicML,3,0.32,23.08,0.45
GT,Ranking,Stability AI,3,0.32,15.79,0.42
GT,Ranking,NVIDIA / NeMo,3,0.32,4.29,0.42
GT,Robustness,NVIDIA / NeMo,3,0.32,4.29,1.21
GT,Ranking,Databricks / MosaicML,3,0.32,23.08,0.42
GT,Fairness,NVIDIA / NeMo,2,0.21,2.86,1.52
GT,Safety,Stability AI,2,0.21,10.53,0.46
GT,Probability,NVIDIA / NeMo,2,0.21,2.86,0.46
