Dimension,Subcategory,Without Pipeline Context,With Pipeline Context,Without Pipeline Context_Pct,With Pipeline Context_Pct,Difference,Pct_Change,Pct_Point_Diff
Architecture,Convolutional (CNN),34,32,1.0803940260565617,1.0403120936280885,-2,-5.88235294117647,-0.04008193242847313
Architecture,Generative,631,573,20.050842071814426,18.62808842652796,-58,-9.19175911251981,-1.4227536452864662
Architecture,Graph Neural Network (GNN),27,28,0.8579599618684461,0.9102730819245773,1,3.7037037037037033,0.0523131200561312
Architecture,Kernel Models,3,3,0.09532888465204957,0.0975292587776333,0,0.0,0.002200374125583729
Architecture,Linear,16,19,0.5084207181442644,0.6176853055916776,3,18.75,0.10926458744741319
Architecture,Probabilistic,26,19,0.8261836669844296,0.6176853055916776,-7,-26.923076923076923,-0.20849836139275202
Architecture,Recurrent (RNN / LSTM),14,15,0.44486812837623135,0.4876462938881665,1,7.142857142857142,0.04277816551193514
Architecture,Reinforcement Learning (RL),36,30,1.1439466158245948,0.975292587776333,-6,-16.666666666666664,-0.1686540280482618
Architecture,Transformer_all,2322,2319,73.78455672068637,75.39011703511053,-3,-0.12919896640826875,1.6055603144241672
Architecture,Tree-based,38,38,1.207499205592628,1.2353706111833551,0,0.0,0.027871405590727205
TrainingParadigm,Few-shot Learning,1548,1388,14.220099209994489,13.351288957291265,-160,-10.335917312661499,-0.8688102527032235
TrainingParadigm,"Few-shot Learning, Zero-shot Learning",2,0,0.01837222120154327,0.0,-2,-100.0,-0.01837222120154327
TrainingParadigm,Fine-tuning,2251,2169,20.67793496233695,20.863793766833396,-82,-3.6428254109284763,0.18585880449644776
TrainingParadigm,Generative,1,0,0.009186110600771635,0.0,-1,-100.0,-0.009186110600771635
TrainingParadigm,Multi-task Learning,625,537,5.741319125482271,5.165448249326665,-88,-14.08,-0.575870876155606
TrainingParadigm,Reinforcement Learning,963,967,8.846224508543083,9.301654482493268,4,0.4153686396677051,0.45542997395018503
TrainingParadigm,Retrieval-Augmented Generation,1,0,0.009186110600771635,0.0,-1,-100.0,-0.009186110600771635
TrainingParadigm,Retrieval-Augmented Generation (RAG),16,59,0.14697776961234615,0.5675259715275106,43,268.75,0.42054820191516445
TrainingParadigm,Self-supervised Learning,2211,2191,20.31049053830608,21.07541362062332,-20,-0.9045680687471733,0.7649230823172388
TrainingParadigm,Semi-supervised Learning,0,1,0.0,0.009619084263178146,1,inf,0.009619084263178146
TrainingParadigm,Supervised Learning,1655,1599,15.203013044277053,15.380915736821855,-56,-3.3836858006042294,0.1779026925448015
TrainingParadigm,Unsupervised Learning,25,20,0.22965276501929083,0.19238168526356292,-5,-20.0,-0.03727107975572791
TrainingParadigm,Zero-shot Learning,1588,1465,14.587543634025355,14.091958445555983,-123,-7.745591939546599,-0.49558518846937183
Provider,Alibaba / Qwen team,9,10,0.3568596352101507,0.39745627980922094,1,11.11111111111111,0.04059664459907025
Provider,Anthropic,128,128,5.07533703409992,5.087440381558029,0,0.0,0.01210334745810826
Provider,DeepSeek,14,13,0.5551149881046789,0.5166931637519873,-1,-7.142857142857142,-0.03842182435269159
Provider,Google DeepMind,211,219,8.366375892149087,8.70429252782194,8,3.7914691943127963,0.3379166356728529
Provider,Hugging Face,25,24,0.9912767644726407,0.9538950715421303,-1,-4.0,-0.03738169293051041
Provider,Meta AI,669,669,26.52656621728787,26.58982511923688,0,0.0,0.06325890194901262
Provider,Microsoft Research,41,38,1.625693893735131,1.5103338632750398,-3,-7.317073170731707,-0.11536003046009125
Provider,Mistral AI,68,68,2.696272799365583,2.7027027027027026,0,0.0,0.006429903337119569
Provider,OpenAI,757,750,30.015860428231562,29.809220985691574,-7,-0.9247027741083224,-0.20663944253998778
Provider,Other / Academic,599,596,23.75099127676447,23.68839427662957,-3,-0.5008347245409015,-0.06259700013490033
Provider,Stability AI,1,1,0.03965107057890563,0.0397456279809221,0,0.0,9.455740201647078e-05
Openness,Closed,879,874,34.86711622372074,34.73767885532592,-5,-0.5688282138794084,-0.12943736839482511
Openness,Open,1642,1642,65.13288377627924,65.26232114467409,0,0.0,0.12943736839484643
Size,Large,1593,1583,63.1892106307021,62.96738265712013,-10,-0.6277463904582549,-0.22182797358196638
Size,Medium,386,381,15.311384371281237,15.155131264916468,-5,-1.2953367875647668,-0.15625310636476897
Size,Small,542,550,21.49940499801666,21.877486077963404,8,1.4760147601476015,0.37808107994674245
