Source,Category,Subcategory,Count,Percentage
Gemini 3 Pro,Provider,Other / Academic,813,24.451127819548873
Gemini 3 Pro,Provider,Anthropic,176,5.2932330827067675
Gemini 3 Pro,Provider,Hugging Face,52,1.5639097744360904
Gemini 3 Pro,Provider,Microsoft Research,63,1.8947368421052633
Gemini 3 Pro,Provider,DeepSeek,80,2.4060150375939853
Gemini 3 Pro,Provider,Stability AI,3,0.09022556390977443
Gemini 3 Pro,Provider,NVIDIA / NeMo,6,0.18045112781954886
Gemini 3 Pro,Provider,Cohere,6,0.18045112781954886
Gemini 3 Pro,Openness,Open,2428,73.0665061691243
Gemini 3 Pro,Openness,Closed,895,26.933493830875715
Gemini 3 Pro,Size,Medium,873,26.216216216216214
Gemini 3 Pro,Size,Large,1941,58.28828828828829
Gemini 3 Pro,Size,Small,516,15.495495495495495
