,count,percent
transformerencoder,1,0.03
qwenvlmoe,1,0.03
act,1,0.03
bartlarge,1,0.03
bitnetb158,1,0.03
diffuseq,1,0.03
fasterrcnn,1,0.03
chatglm4,1,0.03
baichuan4,1,0.03
sqlcoder,1,0.03
stablediffusion3,1,0.03
dalle3,1,0.03
mariannmt,1,0.03
transformertiny,1,0.03
byt5,1,0.03
arabertv2,1,0.03
astrobert,1,0.03
selfcheckgpt,1,0.03
iqn,1,0.03
textembeddingada002,1,0.03
pegasusparaphraser,1,0.03
bertbasedrouter,1,0.03
deepseekmath7b,1,0.03
temporalfusiontransformer,1,0.03
meditllama,1,0.03
prometheus,1,0.03
mixedeffectsmodel,1,0.03
nomadframework,1,0.03
drivevlm,1,0.03
pandaplanner,1,0.03
tamilllama,1,0.03
solar107b,1,0.03
transrmot,1,0.03
memotr,1,0.03
timesnet,1,0.03
3dgaussiansplatting,1,0.03
rectifiedflow,1,0.03
gpt3175b,1,0.03
llama31405b,1,0.03
toolllama,1,0.03
medclip,1,0.03
lama,1,0.03
streamdiffusion,1,0.03
sadtalker,1,0.03
densepassageretrieval,1,0.03
chat3d,1,0.03
lcgail,1,0.03
bwgnn,1,0.03
llama3series,1,0.03
mixtureofexperts,1,0.03
relullama,1,0.03
imagebindllm,1,0.03
cola,1,0.03
seedllama,1,0.03
llamagen,1,0.03
setfit,1,0.03
mobilellm,1,0.03
mplugowl,1,0.03
lorentzmodel,1,0.03
chameleon,1,0.03
sparseupcycling,1,0.03
toolllm,1,0.03
bart,1,0.03
whisperv3,1,0.03
dynamicumap,1,0.03
fedprox,1,0.03
stablediffusion,1,0.03
yi15,1,0.03
gaussianprocesses,1,0.03
shikra,1,0.03
sbert,1,0.03
bkt,1,0.03
dkt,1,0.03
chatglm36b,1,0.03
yi6b,1,0.03
minervallm,1,0.03
faunoitalianllm,1,0.03
quantizedllama3,1,0.03
lm4optra,1,0.03
mobilebert,1,0.03
starcoder215b,1,0.03
resnet3d,1,0.03
videomaev2,1,0.03
graphgpt,1,0.03
graphormer,1,0.03
blink,1,0.03
poincaréembeddings,1,0.03
speechgpt,1,0.03
deepseekr1distill,1,0.03
opt125m,1,0.03
alphafold2,1,0.03
esmfold,1,0.03
proteinmpnn,1,0.03
falcon,1,0.03
codellama13b,1,0.03
acegpt,1,0.03
tablebert,1,0.03
audiollamalora,1,0.03
gpt35,1,0.03
sarvam2b,1,0.03
graphneuralnetwork,1,0.03
analyticalcostmodel,1,0.03
yoloworld,1,0.03
o1preview,1,0.03
mistralv03,1,0.03
idefics2,1,0.03
1dtransformer,1,0.03
spectraclip,1,0.03
llama2base,1,0.03
mistral7bbase,1,0.03
falconbase,1,0.03
cvae,1,0.03
trajectron,1,0.03
gpt2family,1,0.03
cc2vec,1,0.03
jitline,1,0.03
simcom,1,0.03
loraadapter,1,0.03
deepseekjanus,1,0.03
sdxlturbo,1,0.03
isolationforest,1,0.03
autoencoder,1,0.03
pinns,1,0.03
guwenbert,1,0.03
camembert,1,0.03
reformer,1,0.03
jais,1,0.03
openie6,1,0.03
vgg16,1,0.03
ochiai,1,0.03
tarantula,1,0.03
llavav16,1,0.03
llama2family,1,0.03
llama3long,1,0.03
bertbasechinese,1,0.03
robertawwmext,1,0.03
gvpgnn,1,0.03
bertweet,1,0.03
shennongtcm,1,0.03
zhongjing,1,0.03
gurobioptimizer,1,0.03
foodbert,1,0.03
dcrnn,1,0.03
fedavg,1,0.03
olmo1b,1,0.03
latxa,1,0.03
siglip,1,0.03
scibert,1,0.03
robertadetector,1,0.03
textada001,1,0.03
openmoe,1,0.03
cabra,1,0.03
invcf,1,0.03
simgcl,1,0.03
chatdev,1,0.03
encodec,1,0.03
segformer,1,0.03
unet,1,0.03
debertanli,1,0.03
mastestagent,1,0.03
gato,1,0.03
graphconvolutionalnetwork,1,0.03
vicuna,1,0.03
iql,1,0.03
cql,1,0.03
geodetective,1,0.03
vicunaseries,1,0.03
falconseries,1,0.03
deepjit,1,0.03
yivl,1,0.03
dinov2,1,0.03
depthanything,1,0.03
dwaveadvantage,1,0.03
whisperencoder,1,0.03
bertencoder,1,0.03
vicuna15,1,0.03
deepqnetwork,1,0.03
gpt2medium,1,0.03
mappo,1,0.03
qmix,1,0.03
transformerxl,1,0.03
neuraladditivemodels,1,0.03
gemini25flash,1,0.03
allmpnetbasev2,1,0.03
debertav3large,1,0.03
qwen1518b,1,0.03
deepensemble,1,0.03
gorillaopenfunctions,1,0.03
tinn,1,0.03
cann,1,0.03
pythia70m,1,0.03
med42,1,0.03
glem,1,0.03
tape,1,0.03
vicuna33b,1,0.03
seeact,1,0.03
linearmixedmodels,1,0.03
hyperclovax,1,0.03
robertabase,1,0.03
ragarchitecture,1,0.03
radbert,1,0.03
gptneox20b,1,0.03
rbfsvm,1,0.03
graphneuralnetworks,1,0.03
marbert,1,0.03
biomedclip,1,0.03
faissivf,1,0.03
llama323b,1,0.03
snorkellabelmodel,1,0.03
